"USAF","WBAN","STATION NAME","CTRY","STATE","ICAO","LAT","LON","ELEV(M)","BEGIN","END"
"999999","23059","SALT FLAT","US","TX","","+31.750","-105.083","+1132.9","19480701","19550101"
"999999","23060","EL MORRO CAA AP","US","NM","","+35.017","-108.400","+2171.1","19480701","19490215"
"999999","23061","ALAMOSA ARPT","US","CO","KALS","+37.439","-105.861","+2298.5","19480101","19721231"
"999999","23062","DENVER STAPLETON AIRFIELD","US","CO","KDNR","+39.767","-104.883","+1626.1","19670101","19721231"
"999999","23063","EAGLE COUNTY AP","US","CO","KEGE","+39.650","-106.917","+1991.9","19480101","19721231"
"999999","23065","GOODLAND RENNER FIELD","US","KS","KGLD","+39.367","-101.693","+1124.1","19480101","19721231"
"999999","23066","GRAND JUNCTION WALKER FIELD","US","CO","KGJT","+39.134","-108.540","+1474.9","19480101","19721231"
"999999","23067","LA JUNTA MUNICIPAL AP","US","CO","KLHX","+38.049","-103.512","+1284.7","19480101","19650101"
"999999","23068","PUEBLO WB AIRPORT","US","CO","","+38.233","-104.633","+1464.9","19480101","19540701"
"999999","23070","TRINIDAD LAS ANIMAS COUNTY AP","US","CO","KTAD","+37.262","-104.338","+1750.5","19480101","19611001"
"999999","23072","CLARENDON MUNICIPAL AP","US","TX","","+34.950","-100.933","+0875.1","19480701","19500601"
"999999","23090","FARMINGTON MUNICIPAL AP","US","NM","KFMN","+36.744","-108.229","+1677.0","19490101","19721231"
"999999","23109","DAVIS MONTHAN AFB","US","AZ","KDMA","+32.167","-110.883","+0824.2","19710101","19710101"
"999999","23110","LEMOORE REEVES NAS","US","CA","KNLC","+36.333","-119.950","+0071.3","19710101","19721231"
"999999","23118","STEAD AFB","US","NV","RAA","+39.667","-119.867","+1531.9","19520801","19660331"
"999999","23122","NORTON AAF","US","CA","KSBD","+34.100","-117.250","+0335.0","19710101","20240129"
"999999","23131","GEORGE AFB","US","CA","KVCV","+34.583","-117.383","+0879.3","19710101","19710101"
"999999","23136","OXNARD AAF","US","CA","KCMA","+34.217","-119.083","+0019.8","19521209","20041231"
"999999","23141","INDIAN SPRINGS","US","NV","KINS","+36.583","-115.683","+0951.9","19630903","19680829"
"999999","23152","HOLLYWOOD BURBANK ARPT","US","CA","KBUR","+34.201","-118.358","+0223.1","19480101","19690101"
"999999","23153","TONOPAH AIRPORT","US","NV","KTPH","+38.051","-117.090","+1656.3","19510402","19761231"
"999999","23154","ELY YELLAND FIELD","US","NV","KELY","+39.295","-114.847","+1908.7","19530120","19721231"
"999999","23155","BAKERSFIELD KERN COUNTY ARPT","US","CA","KBFL","+35.434","-119.054","+0150.0","19480101","19721231"
"999999","23156","BEAUMONT 1 E","US","CA","BUO","+33.933","-116.967","+0794.0","19480101","19530826"
"999999","23157","BISHOP AIRPORT","US","CA","KBIH","+37.371","-118.358","+1263.4","19480104","19721231"
"999999","23158","BLYTHE RIVERSIDE CO","US","CA","KBLH","+33.619","-114.714","+0119.5","19481101","19721231"
"999999","23159","BRYCE CNYN FAA AP","US","UT","KBCE","+37.706","-112.146","+2313.1","19481101","19721231"
"999999","23160","TUCSON INTERNATIONAL AP","US","AZ","KTUS","+32.131","-110.955","+0778.8","19460601","19721231"
"999999","23161","DAGGETT BARSTOW-DAGGETT AP","US","CA","KDAG","+34.854","-116.786","+0588.0","19481101","19721231"
"999999","23162","DELTA FAA AP","US","UT","KDTA","+39.383","-112.517","+1449.3","19481101","20041231"
"999999","23167","FRESNO CHANDLER FIELD","US","CA","FCH","+36.733","-119.817","+0084.1","19480101","19490901"
"999999","23169","LAS VEGAS MCCARRAN INTL AP","US","NV","KLAS","+36.072","-115.163","+0664.5","19481219","19721231"
"999999","23170","HANKSVILLE","US","UT","KHVE","+38.371","-110.715","+1354.5","19481101","19550101"
"999999","23172","INDIO COACHELLA","US","CA","","+33.683","-116.167","-0020.1","19481101","19500508"
"999999","23173","LAS VEGAS WB AP","US","NV","","+36.233","-115.033","+0573.9","19480101","19481219"
"999999","23174","LOS ANGELES MUNICIPAL ARPT","US","CA","KLAX","+33.938","-118.389","+0099.4","19470101","19721231"
"999999","23176","MILFORD MUNICIPAL AP","US","UT","KMLF","+38.417","-113.017","+1534.1","19480723","19961231"
"999999","23177","MODENA","US","UT","","+37.800","-113.917","+1663.9","19480101","19480801"
"999999","23178","MOUNT LAGUNA CAA AP","US","CA","","+32.867","-116.417","+1893.1","19490101","19500224"
"999999","23179","NEEDLES AIRPORT","US","CA","KEED","+34.768","-114.619","+0278.6","19481101","19650101"
"999999","23180","NEWHALL AP","US","CA","","+34.400","-118.550","+0370.0","19480901","19490801"
"999999","23181","OCEANSIDE CAA AP","US","CA","OCN","+33.233","-117.417","+0007.9","19481101","19520201"
"999999","23182","PALMDALE AIRPORT","US","CA","KPMD","+34.629","-118.084","+0787.0","19481101","19650101"
"999999","23183","PHOENIX SKY HARBOR INTL AP","US","AZ","KPHX","+33.428","-112.004","+0337.4","19480101","19721231"
"999999","23184","PRESCOTT MUNICIPAL AP","US","AZ","KPRC","+34.652","-112.421","+1539.8","19480101","19721231"
"999999","23185","RENO WBO","US","NV","KRNO","+39.484","-119.771","+1341.1","19490101","19721231"
"999999","23187","SANDBERG","US","CA","KSDB","+34.744","-118.724","+1378.6","19480101","19721231"
"999999","23188","SAN DIEGO LINDBERGH FIELD","US","CA","KSAN","+32.734","-117.183","+0008.5","19480101","19721231"
"999999","23190","SANTA BARBARA MUNICIPAL AP","US","CA","KSBA","+34.426","-119.843","+0006.1","19481101","19650101"
"999999","23191","SANTA CATALINA BUFFALO SPRING","US","CA","KAVX","+33.405","-118.416","+0488.3","19480101","19680323"
"999999","23192","SILVER LAKE CAA AP","US","CA","","+35.333","-116.083","+0281.0","19481101","19500731"
"999999","23193","TUCSON WBO","US","AZ","","+32.183","-110.917","+0780.0","19480101","19481101"
"999999","23194","WINSLOW MUNICIPAL AP","US","AZ","KINW","+35.028","-110.721","+1488.3","19480101","19721231"
"999999","23195","YUMA INTL ARPT","US","AZ","KYUM","+32.667","-114.600","+0065.8","19480911","19721231"
"999999","23196","CHULA VISTA BROWN FIELD NAAS","US","CA","KSDM","+32.583","-116.983","+0159.4","19450401","19610501"
"999999","23199","EL CENTRO NAF","US","CA","KNJK","+32.817","-115.683","-0013.1","19450201","19601101"
"999999","23202","TRAVIS FIELD AAB","US","CA","KSUU","+38.267","-121.933","+0018.9","19710101","19710101"
"999999","23225","BLUE CANYON AP","US","CA","KBLU","+39.277","-120.710","+1610.3","19480101","19721231"
"999999","23226","DONNER SUMMIT","US","CA","","+39.317","-120.333","+2194.0","19481101","19520131"
"999999","23230","OAKLAND METROPOLITAN","US","CA","KOAK","+37.721","-122.221","+0026.8","19480101","19721231"
"999999","23232","SACRAMENTO EXECUTIVE ARPT","US","CA","KSAC","+38.507","-121.495","+0007.6","19470701","19721231"
"999999","23233","SALINAS MUNICIPAL AP","US","CA","KSNS","+36.664","-121.608","+0023.5","19481101","19650101"
"999999","23234","SAN FRANCISCO INTL AP","US","CA","KSFO","+37.620","-122.365","+0005.5","19480101","19721231"
"999999","23236","SANTA MARIA HANCOCK FIELD","US","CA","","+34.933","-120.417","+0071.0","19480101","19541021"
"999999","23237","STOCKTON METROPOLITAN ARPT","US","CA","KSCK","+37.889","-121.226","+0008.2","19481101","19721231"
"999999","23238","WILLIAMS CAA AIRPORT","US","CA","","+39.100","-122.150","+0039.0","19481101","19521230"
"999999","23239","NAVAL AIR STATION","US","CA","KNGZ","+37.783","-122.317","+0004.3","19450301","20041231"
"999999","23240","NAVAL AUXILIARY LANDING FIELD","US","CA","KNRC","+37.400","-121.133","+0050.3","20020902","20041231"
"999999","23242","LIVERMORE NAS","US","CA","","+37.683","-121.700","+0196.9","19450201","19460811"
"999999","23244","MOUNTAIN VIEW MOFFETT FLD NAS","US","CA","KNUQ","+37.406","-122.048","+0010.4","19450303","19721231"
"999999","23245","MONTEREY NAF","US","CA","KMRY","+36.600","-121.867","+0050.0","19450301","19720301"
"999999","23246","SANTA ROSA NAAS","US","CA","","+38.417","-122.750","+0042.1","19450301","19470416"
"999999","23250","FARALLON ISLAND NAS","US","CA","K50Q","+37.700","-123.000","+0009.1","19450701","19450801"
"999999","23254","CONCORD CONCORD-BUCHANAN FIEL","US","CA","KCCR","+37.992","-122.055","+0018.3","19690101","19700101"
"999999","23259","MONTEREY PENINSULA AIRPORT","US","CA","KMRY","+36.590","-121.849","+0048.8","19980302","20051231"
"999999","23271","DOWNTOWN","US","CA","","+38.555","-121.418","+0011.6","19960702","20240128"
